COORDINATE,GEO,Age group,Sex,Response,Estimates,UOM,SCALAR_FACTOR,VECTOR,VALUE,STATUS
8.7.1.3.2,Prince Edward Island,45 to 54 years,Both sexes,Satisfied,Percentage of persons,Percent,units ,v116750446,64.2,
8.7.1.3.3,Prince Edward Island,45 to 54 years,Both sexes,Satisfied,"Low 95% confidence interval, percent",Percent,units ,v116750447,48.1,
8.7.1.3.4,Prince Edward Island,45 to 54 years,Both sexes,Satisfied,"High 95% confidence interval, percent",Percent,units ,v116750448,77.6,
8.7.1.4.1,Prince Edward Island,45 to 54 years,Both sexes,Neither satisfied nor dissatisfied,Number of persons,Persons,thousands,v116750449,,F
8.7.1.4.2,Prince Edward Island,45 to 54 years,Both sexes,Neither satisfied nor dissatisfied,Percentage of persons,Percent,units ,v116750450,,F
8.7.1.4.3,Prince Edward Island,45 to 54 years,Both sexes,Neither satisfied nor dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116750451,,F
8.7.1.4.4,Prince Edward Island,45 to 54 years,Both sexes,Neither satisfied nor dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116750452,,F
8.7.1.9.1,Prince Edward Island,45 to 54 years,Both sexes,Dissatisfied or very dissatisfied,Number of persons,Persons,thousands,v116750453,,F
8.7.1.9.2,Prince Edward Island,45 to 54 years,Both sexes,Dissatisfied or very dissatisfied,Percentage of persons,Percent,units ,v116750454,,F
8.7.1.9.3,Prince Edward Island,45 to 54 years,Both sexes,Dissatisfied or very dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116750455,,F
8.7.1.9.4,Prince Edward Island,45 to 54 years,Both sexes,Dissatisfied or very dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116750456,,F
8.7.1.5.1,Prince Edward Island,45 to 54 years,Both sexes,Dissatisfied,Number of persons,Persons,thousands,v116750457,,F
8.7.1.5.2,Prince Edward Island,45 to 54 years,Both sexes,Dissatisfied,Percentage of persons,Percent,units ,v116750458,,F
8.7.1.5.3,Prince Edward Island,45 to 54 years,Both sexes,Dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116750459,,F
8.7.1.5.4,Prince Edward Island,45 to 54 years,Both sexes,Dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116750460,,F
8.7.1.6.1,Prince Edward Island,45 to 54 years,Both sexes,Very dissatisfied,Number of persons,Persons,thousands,v116750461,,F
8.7.1.6.2,Prince Edward Island,45 to 54 years,Both sexes,Very dissatisfied,Percentage of persons,Percent,units ,v116750462,,F
8.7.1.6.3,Prince Edward Island,45 to 54 years,Both sexes,Very dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116750463,,F
8.7.1.6.4,Prince Edward Island,45 to 54 years,Both sexes,Very dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116750464,,F
8.7.1.7.1,Prince Edward Island,45 to 54 years,Both sexes,Don't know/refusal/not stated,Number of persons,Persons,thousands,v116750465,,F
8.7.1.7.2,Prince Edward Island,45 to 54 years,Both sexes,Don't know/refusal/not stated,Percentage of persons,Percent,units ,v116750466,,F
8.7.1.7.3,Prince Edward Island,45 to 54 years,Both sexes,Don't know/refusal/not stated,"Low 95% confidence interval, percent",Percent,units ,v116750467,,F
8.7.1.7.4,Prince Edward Island,45 to 54 years,Both sexes,Don't know/refusal/not stated,"High 95% confidence interval, percent",Percent,units ,v116750468,,F
8.7.2.1.1,Prince Edward Island,45 to 54 years,Male,"Total, job satisfaction",Number of persons,Persons,thousands,v116750469,7.0,
8.7.2.1.2,Prince Edward Island,45 to 54 years,Male,"Total, job satisfaction",Percentage of persons,Percent,units ,v116750470,100.0,
8.7.2.1.3,Prince Edward Island,45 to 54 years,Male,"Total, job satisfaction","Low 95% confidence interval, percent",Percent,units ,v116750471,100.0,
8.7.2.1.4,Prince Edward Island,45 to 54 years,Male,"Total, job satisfaction","High 95% confidence interval, percent",Percent,units ,v116750472,100.0,
8.7.2.8.1,Prince Edward Island,45 to 54 years,Male,Very satisfied or satisfied,Number of persons,Persons,thousands,v116750473,6.0,
8.7.2.8.2,Prince Edward Island,45 to 54 years,Male,Very satisfied or satisfied,Percentage of persons,Percent,units ,v116750474,89.8,
8.7.2.8.3,Prince Edward Island,45 to 54 years,Male,Very satisfied or satisfied,"Low 95% confidence interval, percent",Percent,units ,v116750475,55.0,
8.7.2.8.4,Prince Edward Island,45 to 54 years,Male,Very satisfied or satisfied,"High 95% confidence interval, percent",Percent,units ,v116750476,98.4,
8.7.2.2.1,Prince Edward Island,45 to 54 years,Male,Very satisfied,Number of persons,Persons,thousands,v116750477,,F
8.7.2.2.2,Prince Edward Island,45 to 54 years,Male,Very satisfied,Percentage of persons,Percent,units ,v116750478,,F
8.7.2.2.3,Prince Edward Island,45 to 54 years,Male,Very satisfied,"Low 95% confidence interval, percent",Percent,units ,v116750479,,F
8.7.2.2.4,Prince Edward Island,45 to 54 years,Male,Very satisfied,"High 95% confidence interval, percent",Percent,units ,v116750480,,F
8.7.2.3.1,Prince Edward Island,45 to 54 years,Male,Satisfied,Number of persons,Persons,thousands,v116750481,5.0,E
8.7.2.3.2,Prince Edward Island,45 to 54 years,Male,Satisfied,Percentage of persons,Percent,units ,v116750482,67.1,E
8.7.2.3.3,Prince Edward Island,45 to 54 years,Male,Satisfied,"Low 95% confidence interval, percent",Percent,units ,v116750483,42.1,
8.7.2.3.4,Prince Edward Island,45 to 54 years,Male,Satisfied,"High 95% confidence interval, percent",Percent,units ,v116750484,85.2,
8.7.2.4.1,Prince Edward Island,45 to 54 years,Male,Neither satisfied nor dissatisfied,Number of persons,Persons,thousands,v116750485,,F
8.7.2.4.2,Prince Edward Island,45 to 54 years,Male,Neither satisfied nor dissatisfied,Percentage of persons,Percent,units ,v116750486,,F
8.7.2.4.3,Prince Edward Island,45 to 54 years,Male,Neither satisfied nor dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116750487,,F
8.7.2.4.4,Prince Edward Island,45 to 54 years,Male,Neither satisfied nor dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116750488,,F
8.7.2.9.1,Prince Edward Island,45 to 54 years,Male,Dissatisfied or very dissatisfied,Number of persons,Persons,thousands,v116750489,,F
8.7.2.9.2,Prince Edward Island,45 to 54 years,Male,Dissatisfied or very dissatisfied,Percentage of persons,Percent,units ,v116750490,,F
8.7.2.9.3,Prince Edward Island,45 to 54 years,Male,Dissatisfied or very dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116750491,,F
8.7.2.9.4,Prince Edward Island,45 to 54 years,Male,Dissatisfied or very dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116750492,,F
8.7.2.5.1,Prince Edward Island,45 to 54 years,Male,Dissatisfied,Number of persons,Persons,thousands,v116750493,,F
8.7.2.5.2,Prince Edward Island,45 to 54 years,Male,Dissatisfied,Percentage of persons,Percent,units ,v116750494,,F
8.7.2.5.3,Prince Edward Island,45 to 54 years,Male,Dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116750495,,F
8.7.2.5.4,Prince Edward Island,45 to 54 years,Male,Dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116750496,,F
8.7.2.6.1,Prince Edward Island,45 to 54 years,Male,Very dissatisfied,Number of persons,Persons,thousands,v116750497,,F
8.7.2.6.2,Prince Edward Island,45 to 54 years,Male,Very dissatisfied,Percentage of persons,Percent,units ,v116750498,,F
8.7.2.6.3,Prince Edward Island,45 to 54 years,Male,Very dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116750499,,F
8.7.2.6.4,Prince Edward Island,45 to 54 years,Male,Very dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116750500,,F
8.7.2.7.1,Prince Edward Island,45 to 54 years,Male,Don't know/refusal/not stated,Number of persons,Persons,thousands,v116750501,,F
8.7.2.7.2,Prince Edward Island,45 to 54 years,Male,Don't know/refusal/not stated,Percentage of persons,Percent,units ,v116750502,,F
8.7.2.7.3,Prince Edward Island,45 to 54 years,Male,Don't know/refusal/not stated,"Low 95% confidence interval, percent",Percent,units ,v116750503,,F
8.7.2.7.4,Prince Edward Island,45 to 54 years,Male,Don't know/refusal/not stated,"High 95% confidence interval, percent",Percent,units ,v116750504,,F
8.7.3.1.1,Prince Edward Island,45 to 54 years,Female,"Total, job satisfaction",Number of persons,Persons,thousands,v116750505,8.0,
8.7.3.1.2,Prince Edward Island,45 to 54 years,Female,"Total, job satisfaction",Percentage of persons,Percent,units ,v116750506,100.0,
8.7.3.1.3,Prince Edward Island,45 to 54 years,Female,"Total, job satisfaction","Low 95% confidence interval, percent",Percent,units ,v116750507,100.0,
8.7.3.1.4,Prince Edward Island,45 to 54 years,Female,"Total, job satisfaction","High 95% confidence interval, percent",Percent,units ,v116750508,100.0,
8.7.3.8.1,Prince Edward Island,45 to 54 years,Female,Very satisfied or satisfied,Number of persons,Persons,thousands,v116750509,7.0,
8.7.3.8.2,Prince Edward Island,45 to 54 years,Female,Very satisfied or satisfied,Percentage of persons,Percent,units ,v116750510,92.7,
8.7.3.8.3,Prince Edward Island,45 to 54 years,Female,Very satisfied or satisfied,"Low 95% confidence interval, percent",Percent,units ,v116750511,80.2,
8.7.3.8.4,Prince Edward Island,45 to 54 years,Female,Very satisfied or satisfied,"High 95% confidence interval, percent",Percent,units ,v116750512,97.6,
8.7.3.2.1,Prince Edward Island,45 to 54 years,Female,Very satisfied,Number of persons,Persons,thousands,v116750513,,F
8.7.3.2.2,Prince Edward Island,45 to 54 years,Female,Very satisfied,Percentage of persons,Percent,units ,v116750514,,F
8.7.3.2.3,Prince Edward Island,45 to 54 years,Female,Very satisfied,"Low 95% confidence interval, percent",Percent,units ,v116750515,,F
8.7.3.2.4,Prince Edward Island,45 to 54 years,Female,Very satisfied,"High 95% confidence interval, percent",Percent,units ,v116750516,,F
8.7.3.3.1,Prince Edward Island,45 to 54 years,Female,Satisfied,Number of persons,Persons,thousands,v116750517,5.0,E
8.7.3.3.2,Prince Edward Island,45 to 54 years,Female,Satisfied,Percentage of persons,Percent,units ,v116750518,61.5,
8.7.3.3.3,Prince Edward Island,45 to 54 years,Female,Satisfied,"Low 95% confidence interval, percent",Percent,units ,v116750519,41.5,
8.7.3.3.4,Prince Edward Island,45 to 54 years,Female,Satisfied,"High 95% confidence interval, percent",Percent,units ,v116750520,78.3,
8.7.3.4.1,Prince Edward Island,45 to 54 years,Female,Neither satisfied nor dissatisfied,Number of persons,Persons,thousands,v116750521,,F
8.7.3.4.2,Prince Edward Island,45 to 54 years,Female,Neither satisfied nor dissatisfied,Percentage of persons,Percent,units ,v116750522,,F
8.7.3.4.3,Prince Edward Island,45 to 54 years,Female,Neither satisfied nor dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116750523,,F
8.7.3.4.4,Prince Edward Island,45 to 54 years,Female,Neither satisfied nor dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116750524,,F
8.7.3.9.1,Prince Edward Island,45 to 54 years,Female,Dissatisfied or very dissatisfied,Number of persons,Persons,thousands,v116750525,,F
8.7.3.9.2,Prince Edward Island,45 to 54 years,Female,Dissatisfied or very dissatisfied,Percentage of persons,Percent,units ,v116750526,,F
8.7.3.9.3,Prince Edward Island,45 to 54 years,Female,Dissatisfied or very dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116750527,,F
8.7.3.9.4,Prince Edward Island,45 to 54 years,Female,Dissatisfied or very dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116750528,,F
8.7.3.5.1,Prince Edward Island,45 to 54 years,Female,Dissatisfied,Number of persons,Persons,thousands,v116750529,,F
8.7.3.5.2,Prince Edward Island,45 to 54 years,Female,Dissatisfied,Percentage of persons,Percent,units ,v116750530,,F
8.7.3.5.3,Prince Edward Island,45 to 54 years,Female,Dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116750531,,F
8.7.3.5.4,Prince Edward Island,45 to 54 years,Female,Dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116750532,,F
8.7.3.6.1,Prince Edward Island,45 to 54 years,Female,Very dissatisfied,Number of persons,Persons,thousands,v116750533,,F
8.7.3.6.2,Prince Edward Island,45 to 54 years,Female,Very dissatisfied,Percentage of persons,Percent,units ,v116750534,,F
8.7.3.6.3,Prince Edward Island,45 to 54 years,Female,Very dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116750535,,F
8.7.3.6.4,Prince Edward Island,45 to 54 years,Female,Very dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116750536,,F
8.7.3.7.1,Prince Edward Island,45 to 54 years,Female,Don't know/refusal/not stated,Number of persons,Persons,thousands,v116750537,,F
8.7.3.7.2,Prince Edward Island,45 to 54 years,Female,Don't know/refusal/not stated,Percentage of persons,Percent,units ,v116750538,,F
8.7.3.7.3,Prince Edward Island,45 to 54 years,Female,Don't know/refusal/not stated,"Low 95% confidence interval, percent",Percent,units ,v116750539,,F
8.7.3.7.4,Prince Edward Island,45 to 54 years,Female,Don't know/refusal/not stated,"High 95% confidence interval, percent",Percent,units ,v116750540,,F
8.8.1.1.1,Prince Edward Island,55 to 64 years,Both sexes,"Total, job satisfaction",Number of persons,Persons,thousands,v116750541,9.0,
8.8.1.1.2,Prince Edward Island,55 to 64 years,Both sexes,"Total, job satisfaction",Percentage of persons,Percent,units ,v116750542,100.0,
8.8.1.1.3,Prince Edward Island,55 to 64 years,Both sexes,"Total, job satisfaction","Low 95% confidence interval, percent",Percent,units ,v116750543,100.0,
8.8.1.1.4,Prince Edward Island,55 to 64 years,Both sexes,"Total, job satisfaction","High 95% confidence interval, percent",Percent,units ,v116750544,100.0,
8.8.1.8.1,Prince Edward Island,55 to 64 years,Both sexes,Very satisfied or satisfied,Number of persons,Persons,thousands,v116750545,7.0,
8.8.1.8.2,Prince Edward Island,55 to 64 years,Both sexes,Very satisfied or satisfied,Percentage of persons,Percent,units ,v116750546,80.6,
8.8.1.8.3,Prince Edward Island,55 to 64 years,Both sexes,Very satisfied or satisfied,"Low 95% confidence interval, percent",Percent,units ,v116750547,66.1,
8.8.1.8.4,Prince Edward Island,55 to 64 years,Both sexes,Very satisfied or satisfied,"High 95% confidence interval, percent",Percent,units ,v116750548,89.8,
8.8.1.2.1,Prince Edward Island,55 to 64 years,Both sexes,Very satisfied,Number of persons,Persons,thousands,v116750549,3.0,E
8.8.1.2.2,Prince Edward Island,55 to 64 years,Both sexes,Very satisfied,Percentage of persons,Percent,units ,v116750550,37.1,E
8.8.1.2.3,Prince Edward Island,55 to 64 years,Both sexes,Very satisfied,"Low 95% confidence interval, percent",Percent,units ,v116750551,25.3,
8.8.1.2.4,Prince Edward Island,55 to 64 years,Both sexes,Very satisfied,"High 95% confidence interval, percent",Percent,units ,v116750552,50.6,
8.8.1.3.1,Prince Edward Island,55 to 64 years,Both sexes,Satisfied,Number of persons,Persons,thousands,v116750553,4.0,E
8.8.1.3.2,Prince Edward Island,55 to 64 years,Both sexes,Satisfied,Percentage of persons,Percent,units ,v116750554,43.5,
8.8.1.3.3,Prince Edward Island,55 to 64 years,Both sexes,Satisfied,"Low 95% confidence interval, percent",Percent,units ,v116750555,30.4,
8.8.1.3.4,Prince Edward Island,55 to 64 years,Both sexes,Satisfied,"High 95% confidence interval, percent",Percent,units ,v116750556,57.6,
8.8.1.4.1,Prince Edward Island,55 to 64 years,Both sexes,Neither satisfied nor dissatisfied,Number of persons,Persons,thousands,v116750557,,F
8.8.1.4.2,Prince Edward Island,55 to 64 years,Both sexes,Neither satisfied nor dissatisfied,Percentage of persons,Percent,units ,v116750558,,F
8.8.1.4.3,Prince Edward Island,55 to 64 years,Both sexes,Neither satisfied nor dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116750559,,F
8.8.1.4.4,Prince Edward Island,55 to 64 years,Both sexes,Neither satisfied nor dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116750560,,F
8.8.1.9.1,Prince Edward Island,55 to 64 years,Both sexes,Dissatisfied or very dissatisfied,Number of persons,Persons,thousands,v116750561,,F
8.8.1.9.2,Prince Edward Island,55 to 64 years,Both sexes,Dissatisfied or very dissatisfied,Percentage of persons,Percent,units ,v116750562,,F
8.8.1.9.3,Prince Edward Island,55 to 64 years,Both sexes,Dissatisfied or very dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116750563,,F
8.8.1.9.4,Prince Edward Island,55 to 64 years,Both sexes,Dissatisfied or very dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116750564,,F
8.8.1.5.1,Prince Edward Island,55 to 64 years,Both sexes,Dissatisfied,Number of persons,Persons,thousands,v116750565,,F
8.8.1.5.2,Prince Edward Island,55 to 64 years,Both sexes,Dissatisfied,Percentage of persons,Percent,units ,v116750566,,F
8.8.1.5.3,Prince Edward Island,55 to 64 years,Both sexes,Dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116750567,,F
8.8.1.5.4,Prince Edward Island,55 to 64 years,Both sexes,Dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116750568,,F
8.8.1.6.1,Prince Edward Island,55 to 64 years,Both sexes,Very dissatisfied,Number of persons,Persons,thousands,v116750569,,F
8.8.1.6.2,Prince Edward Island,55 to 64 years,Both sexes,Very dissatisfied,Percentage of persons,Percent,units ,v116750570,,F
8.8.1.6.3,Prince Edward Island,55 to 64 years,Both sexes,Very dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116750571,,F
8.8.1.6.4,Prince Edward Island,55 to 64 years,Both sexes,Very dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116750572,,F
8.8.1.7.1,Prince Edward Island,55 to 64 years,Both sexes,Don't know/refusal/not stated,Number of persons,Persons,thousands,v116750573,,F
8.8.1.7.2,Prince Edward Island,55 to 64 years,Both sexes,Don't know/refusal/not stated,Percentage of persons,Percent,units ,v116750574,,F
8.8.1.7.3,Prince Edward Island,55 to 64 years,Both sexes,Don't know/refusal/not stated,"Low 95% confidence interval, percent",Percent,units ,v116750575,,F
8.8.1.7.4,Prince Edward Island,55 to 64 years,Both sexes,Don't know/refusal/not stated,"High 95% confidence interval, percent",Percent,units ,v116750576,,F
8.8.2.1.1,Prince Edward Island,55 to 64 years,Male,"Total, job satisfaction",Number of persons,Persons,thousands,v116750577,5.0,
8.8.2.1.2,Prince Edward Island,55 to 64 years,Male,"Total, job satisfaction",Percentage of persons,Percent,units ,v116750578,100.0,
8.8.2.1.3,Prince Edward Island,55 to 64 years,Male,"Total, job satisfaction","Low 95% confidence interval, percent",Percent,units ,v116750579,100.0,
8.8.2.1.4,Prince Edward Island,55 to 64 years,Male,"Total, job satisfaction","High 95% confidence interval, percent",Percent,units ,v116750580,100.0,
8.8.2.8.1,Prince Edward Island,55 to 64 years,Male,Very satisfied or satisfied,Number of persons,Persons,thousands,v116750581,4.0,E
8.8.2.8.2,Prince Edward Island,55 to 64 years,Male,Very satisfied or satisfied,Percentage of persons,Percent,units ,v116750582,84.6,
8.8.2.8.3,Prince Edward Island,55 to 64 years,Male,Very satisfied or satisfied,"Low 95% confidence interval, percent",Percent,units ,v116750583,64.5,
8.8.2.8.4,Prince Edward Island,55 to 64 years,Male,Very satisfied or satisfied,"High 95% confidence interval, percent",Percent,units ,v116750584,94.3,
8.8.2.2.1,Prince Edward Island,55 to 64 years,Male,Very satisfied,Number of persons,Persons,thousands,v116750585,,F
8.8.2.2.2,Prince Edward Island,55 to 64 years,Male,Very satisfied,Percentage of persons,Percent,units ,v116750586,,F
8.8.2.2.3,Prince Edward Island,55 to 64 years,Male,Very satisfied,"Low 95% confidence interval, percent",Percent,units ,v116750587,,F
8.8.2.2.4,Prince Edward Island,55 to 64 years,Male,Very satisfied,"High 95% confidence interval, percent",Percent,units ,v116750588,,F
8.8.2.3.1,Prince Edward Island,55 to 64 years,Male,Satisfied,Number of persons,Persons,thousands,v116750589,,F
8.8.2.3.2,Prince Edward Island,55 to 64 years,Male,Satisfied,Percentage of persons,Percent,units ,v116750590,,F
8.8.2.3.3,Prince Edward Island,55 to 64 years,Male,Satisfied,"Low 95% confidence interval, percent",Percent,units ,v116750591,,F
8.8.2.3.4,Prince Edward Island,55 to 64 years,Male,Satisfied,"High 95% confidence interval, percent",Percent,units ,v116750592,,F
8.8.2.4.1,Prince Edward Island,55 to 64 years,Male,Neither satisfied nor dissatisfied,Number of persons,Persons,thousands,v116750593,,F
8.8.2.4.2,Prince Edward Island,55 to 64 years,Male,Neither satisfied nor dissatisfied,Percentage of persons,Percent,units ,v116750594,,F
8.8.2.4.3,Prince Edward Island,55 to 64 years,Male,Neither satisfied nor dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116750595,,F
8.8.2.4.4,Prince Edward Island,55 to 64 years,Male,Neither satisfied nor dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116750596,,F
8.8.2.9.1,Prince Edward Island,55 to 64 years,Male,Dissatisfied or very dissatisfied,Number of persons,Persons,thousands,v116750597,,F
8.8.2.9.2,Prince Edward Island,55 to 64 years,Male,Dissatisfied or very dissatisfied,Percentage of persons,Percent,units ,v116750598,,F
8.8.2.9.3,Prince Edward Island,55 to 64 years,Male,Dissatisfied or very dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116750599,,F
8.8.2.9.4,Prince Edward Island,55 to 64 years,Male,Dissatisfied or very dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116750600,,F
8.8.2.5.1,Prince Edward Island,55 to 64 years,Male,Dissatisfied,Number of persons,Persons,thousands,v116750601,,F
8.8.2.5.2,Prince Edward Island,55 to 64 years,Male,Dissatisfied,Percentage of persons,Percent,units ,v116750602,,F
8.8.2.5.3,Prince Edward Island,55 to 64 years,Male,Dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116750603,,F
8.8.2.5.4,Prince Edward Island,55 to 64 years,Male,Dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116750604,,F
8.8.2.6.1,Prince Edward Island,55 to 64 years,Male,Very dissatisfied,Number of persons,Persons,thousands,v116750605,,F
8.8.2.6.2,Prince Edward Island,55 to 64 years,Male,Very dissatisfied,Percentage of persons,Percent,units ,v116750606,,F
8.8.2.6.3,Prince Edward Island,55 to 64 years,Male,Very dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116750607,,F
8.8.2.6.4,Prince Edward Island,55 to 64 years,Male,Very dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116750608,,F
8.8.2.7.1,Prince Edward Island,55 to 64 years,Male,Don't know/refusal/not stated,Number of persons,Persons,thousands,v116750609,,F
8.8.2.7.2,Prince Edward Island,55 to 64 years,Male,Don't know/refusal/not stated,Percentage of persons,Percent,units ,v116750610,,F
8.8.2.7.3,Prince Edward Island,55 to 64 years,Male,Don't know/refusal/not stated,"Low 95% confidence interval, percent",Percent,units ,v116750611,,F
8.8.2.7.4,Prince Edward Island,55 to 64 years,Male,Don't know/refusal/not stated,"High 95% confidence interval, percent",Percent,units ,v116750612,,F
8.8.3.1.1,Prince Edward Island,55 to 64 years,Female,"Total, job satisfaction",Number of persons,Persons,thousands,v116750613,4.0,E
8.8.3.1.2,Prince Edward Island,55 to 64 years,Female,"Total, job satisfaction",Percentage of persons,Percent,units ,v116750614,100.0,
8.8.3.1.3,Prince Edward Island,55 to 64 years,Female,"Total, job satisfaction","Low 95% confidence interval, percent",Percent,units ,v116750615,100.0,
8.8.3.1.4,Prince Edward Island,55 to 64 years,Female,"Total, job satisfaction","High 95% confidence interval, percent",Percent,units ,v116750616,100.0,
8.8.3.8.1,Prince Edward Island,55 to 64 years,Female,Very satisfied or satisfied,Number of persons,Persons,thousands,v116750617,3.0,E
8.8.3.8.2,Prince Edward Island,55 to 64 years,Female,Very satisfied or satisfied,Percentage of persons,Percent,units ,v116750618,75.6,
8.8.3.8.3,Prince Edward Island,55 to 64 years,Female,Very satisfied or satisfied,"Low 95% confidence interval, percent",Percent,units ,v116750619,52.5,
8.8.3.8.4,Prince Edward Island,55 to 64 years,Female,Very satisfied or satisfied,"High 95% confidence interval, percent",Percent,units ,v116750620,89.7,
8.8.3.2.1,Prince Edward Island,55 to 64 years,Female,Very satisfied,Number of persons,Persons,thousands,v116750621,,F
8.8.3.2.2,Prince Edward Island,55 to 64 years,Female,Very satisfied,Percentage of persons,Percent,units ,v116750622,,F
8.8.3.2.3,Prince Edward Island,55 to 64 years,Female,Very satisfied,"Low 95% confidence interval, percent",Percent,units ,v116750623,,F
8.8.3.2.4,Prince Edward Island,55 to 64 years,Female,Very satisfied,"High 95% confidence interval, percent",Percent,units ,v116750624,,F
8.8.3.3.1,Prince Edward Island,55 to 64 years,Female,Satisfied,Number of persons,Persons,thousands,v116750625,,F
8.8.3.3.2,Prince Edward Island,55 to 64 years,Female,Satisfied,Percentage of persons,Percent,units ,v116750626,,F
8.8.3.3.3,Prince Edward Island,55 to 64 years,Female,Satisfied,"Low 95% confidence interval, percent",Percent,units ,v116750627,,F
8.8.3.3.4,Prince Edward Island,55 to 64 years,Female,Satisfied,"High 95% confidence interval, percent",Percent,units ,v116750628,,F
8.8.3.4.1,Prince Edward Island,55 to 64 years,Female,Neither satisfied nor dissatisfied,Number of persons,Persons,thousands,v116750629,,F
8.8.3.4.2,Prince Edward Island,55 to 64 years,Female,Neither satisfied nor dissatisfied,Percentage of persons,Percent,units ,v116750630,,F
8.8.3.4.3,Prince Edward Island,55 to 64 years,Female,Neither satisfied nor dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116750631,,F
8.8.3.4.4,Prince Edward Island,55 to 64 years,Female,Neither satisfied nor dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116750632,,F
8.8.3.9.1,Prince Edward Island,55 to 64 years,Female,Dissatisfied or very dissatisfied,Number of persons,Persons,thousands,v116750633,,F
8.8.3.9.2,Prince Edward Island,55 to 64 years,Female,Dissatisfied or very dissatisfied,Percentage of persons,Percent,units ,v116750634,,F
8.8.3.9.3,Prince Edward Island,55 to 64 years,Female,Dissatisfied or very dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116750635,,F
8.8.3.9.4,Prince Edward Island,55 to 64 years,Female,Dissatisfied or very dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116750636,,F
8.8.3.5.1,Prince Edward Island,55 to 64 years,Female,Dissatisfied,Number of persons,Persons,thousands,v116750637,,F
8.8.3.5.2,Prince Edward Island,55 to 64 years,Female,Dissatisfied,Percentage of persons,Percent,units ,v116750638,,F
8.8.3.5.3,Prince Edward Island,55 to 64 years,Female,Dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116750639,,F
8.8.3.5.4,Prince Edward Island,55 to 64 years,Female,Dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116750640,,F
8.8.3.6.1,Prince Edward Island,55 to 64 years,Female,Very dissatisfied,Number of persons,Persons,thousands,v116750641,,F
8.8.3.6.2,Prince Edward Island,55 to 64 years,Female,Very dissatisfied,Percentage of persons,Percent,units ,v116750642,,F
8.8.3.6.3,Prince Edward Island,55 to 64 years,Female,Very dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116750643,,F
8.8.3.6.4,Prince Edward Island,55 to 64 years,Female,Very dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116750644,,F
8.8.3.7.1,Prince Edward Island,55 to 64 years,Female,Don't know/refusal/not stated,Number of persons,Persons,thousands,v116750645,,F
8.8.3.7.2,Prince Edward Island,55 to 64 years,Female,Don't know/refusal/not stated,Percentage of persons,Percent,units ,v116750646,,F
8.8.3.7.3,Prince Edward Island,55 to 64 years,Female,Don't know/refusal/not stated,"Low 95% confidence interval, percent",Percent,units ,v116750647,,F
8.8.3.7.4,Prince Edward Island,55 to 64 years,Female,Don't know/refusal/not stated,"High 95% confidence interval, percent",Percent,units ,v116750648,,F
