COORDINATE,GEO,Age group,Sex,Response,Estimates,UOM,SCALAR_FACTOR,VECTOR,VALUE,STATUS
7.1.3.6.2,Newfoundland and Labrador,"Total, 15 years and over",Female,Very dissatisfied,Percentage of persons,Percent,units ,v116748914,N/A,F
7.1.3.6.3,Newfoundland and Labrador,"Total, 15 years and over",Female,Very dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116748915,N/A,F
7.1.3.6.4,Newfoundland and Labrador,"Total, 15 years and over",Female,Very dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116748916,N/A,F
7.1.3.7.1,Newfoundland and Labrador,"Total, 15 years and over",Female,Don't know/refusal/not stated,Number of persons,Persons,thousands,v116748917,N/A,F
7.1.3.7.2,Newfoundland and Labrador,"Total, 15 years and over",Female,Don't know/refusal/not stated,Percentage of persons,Percent,units ,v116748918,N/A,F
7.1.3.7.3,Newfoundland and Labrador,"Total, 15 years and over",Female,Don't know/refusal/not stated,"Low 95% confidence interval, percent",Percent,units ,v116748919,N/A,F
7.1.3.7.4,Newfoundland and Labrador,"Total, 15 years and over",Female,Don't know/refusal/not stated,"High 95% confidence interval, percent",Percent,units ,v116748920,N/A,F
7.2.1.1.1,Newfoundland and Labrador,15 to 24 years,Both sexes,"Total, job satisfaction",Number of persons,Persons,thousands,v116748921,24.0,N/A
7.2.1.1.2,Newfoundland and Labrador,15 to 24 years,Both sexes,"Total, job satisfaction",Percentage of persons,Percent,units ,v116748922,100.0,N/A
7.2.1.1.3,Newfoundland and Labrador,15 to 24 years,Both sexes,"Total, job satisfaction","Low 95% confidence interval, percent",Percent,units ,v116748923,100.0,N/A
7.2.1.1.4,Newfoundland and Labrador,15 to 24 years,Both sexes,"Total, job satisfaction","High 95% confidence interval, percent",Percent,units ,v116748924,100.0,N/A
7.2.1.8.1,Newfoundland and Labrador,15 to 24 years,Both sexes,Very satisfied or satisfied,Number of persons,Persons,thousands,v116748925,20.0,N/A
7.2.1.8.2,Newfoundland and Labrador,15 to 24 years,Both sexes,Very satisfied or satisfied,Percentage of persons,Percent,units ,v116748926,83.5,N/A
7.2.1.8.3,Newfoundland and Labrador,15 to 24 years,Both sexes,Very satisfied or satisfied,"Low 95% confidence interval, percent",Percent,units ,v116748927,67.4,N/A
7.2.1.8.4,Newfoundland and Labrador,15 to 24 years,Both sexes,Very satisfied or satisfied,"High 95% confidence interval, percent",Percent,units ,v116748928,92.5,N/A
7.2.1.2.1,Newfoundland and Labrador,15 to 24 years,Both sexes,Very satisfied,Number of persons,Persons,thousands,v116748929,N/A,F
7.2.1.2.2,Newfoundland and Labrador,15 to 24 years,Both sexes,Very satisfied,Percentage of persons,Percent,units ,v116748930,N/A,F
7.2.1.2.3,Newfoundland and Labrador,15 to 24 years,Both sexes,Very satisfied,"Low 95% confidence interval, percent",Percent,units ,v116748931,N/A,F
7.2.1.2.4,Newfoundland and Labrador,15 to 24 years,Both sexes,Very satisfied,"High 95% confidence interval, percent",Percent,units ,v116748932,N/A,F
7.2.1.3.1,Newfoundland and Labrador,15 to 24 years,Both sexes,Satisfied,Number of persons,Persons,thousands,v116748933,12.0,E
7.2.1.3.2,Newfoundland and Labrador,15 to 24 years,Both sexes,Satisfied,Percentage of persons,Percent,units ,v116748934,49.3,E
7.2.1.3.3,Newfoundland and Labrador,15 to 24 years,Both sexes,Satisfied,"Low 95% confidence interval, percent",Percent,units ,v116748935,32.8,N/A
7.2.1.3.4,Newfoundland and Labrador,15 to 24 years,Both sexes,Satisfied,"High 95% confidence interval, percent",Percent,units ,v116748936,66.0,N/A
7.2.1.4.1,Newfoundland and Labrador,15 to 24 years,Both sexes,Neither satisfied nor dissatisfied,Number of persons,Persons,thousands,v116748937,N/A,F
7.2.1.4.2,Newfoundland and Labrador,15 to 24 years,Both sexes,Neither satisfied nor dissatisfied,Percentage of persons,Percent,units ,v116748938,N/A,F
7.2.1.4.3,Newfoundland and Labrador,15 to 24 years,Both sexes,Neither satisfied nor dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116748939,N/A,F
7.2.1.4.4,Newfoundland and Labrador,15 to 24 years,Both sexes,Neither satisfied nor dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116748940,N/A,F
7.2.1.9.1,Newfoundland and Labrador,15 to 24 years,Both sexes,Dissatisfied or very dissatisfied,Number of persons,Persons,thousands,v116748941,N/A,F
7.2.1.9.2,Newfoundland and Labrador,15 to 24 years,Both sexes,Dissatisfied or very dissatisfied,Percentage of persons,Percent,units ,v116748942,N/A,F
7.2.1.9.3,Newfoundland and Labrador,15 to 24 years,Both sexes,Dissatisfied or very dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116748943,N/A,F
7.2.1.9.4,Newfoundland and Labrador,15 to 24 years,Both sexes,Dissatisfied or very dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116748944,N/A,F
7.2.1.5.1,Newfoundland and Labrador,15 to 24 years,Both sexes,Dissatisfied,Number of persons,Persons,thousands,v116748945,N/A,F
7.2.1.5.2,Newfoundland and Labrador,15 to 24 years,Both sexes,Dissatisfied,Percentage of persons,Percent,units ,v116748946,N/A,F
7.2.1.5.3,Newfoundland and Labrador,15 to 24 years,Both sexes,Dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116748947,N/A,F
7.2.1.5.4,Newfoundland and Labrador,15 to 24 years,Both sexes,Dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116748948,N/A,F
7.2.1.6.1,Newfoundland and Labrador,15 to 24 years,Both sexes,Very dissatisfied,Number of persons,Persons,thousands,v116748949,N/A,F
7.2.1.6.2,Newfoundland and Labrador,15 to 24 years,Both sexes,Very dissatisfied,Percentage of persons,Percent,units ,v116748950,N/A,F
7.2.1.6.3,Newfoundland and Labrador,15 to 24 years,Both sexes,Very dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116748951,N/A,F
7.2.1.6.4,Newfoundland and Labrador,15 to 24 years,Both sexes,Very dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116748952,N/A,F
7.2.1.7.1,Newfoundland and Labrador,15 to 24 years,Both sexes,Don't know/refusal/not stated,Number of persons,Persons,thousands,v116748953,N/A,F
7.2.1.7.2,Newfoundland and Labrador,15 to 24 years,Both sexes,Don't know/refusal/not stated,Percentage of persons,Percent,units ,v116748954,N/A,F
7.2.1.7.3,Newfoundland and Labrador,15 to 24 years,Both sexes,Don't know/refusal/not stated,"Low 95% confidence interval, percent",Percent,units ,v116748955,N/A,F
7.2.1.7.4,Newfoundland and Labrador,15 to 24 years,Both sexes,Don't know/refusal/not stated,"High 95% confidence interval, percent",Percent,units ,v116748956,N/A,F
7.2.2.1.1,Newfoundland and Labrador,15 to 24 years,Male,"Total, job satisfaction",Number of persons,Persons,thousands,v116748957,12.0,E
7.2.2.1.2,Newfoundland and Labrador,15 to 24 years,Male,"Total, job satisfaction",Percentage of persons,Percent,units ,v116748958,100.0,N/A
7.2.2.1.3,Newfoundland and Labrador,15 to 24 years,Male,"Total, job satisfaction","Low 95% confidence interval, percent",Percent,units ,v116748959,100.0,N/A
7.2.2.1.4,Newfoundland and Labrador,15 to 24 years,Male,"Total, job satisfaction","High 95% confidence interval, percent",Percent,units ,v116748960,100.0,N/A
7.2.2.8.1,Newfoundland and Labrador,15 to 24 years,Male,Very satisfied or satisfied,Number of persons,Persons,thousands,v116748961,10.0,E
7.2.2.8.2,Newfoundland and Labrador,15 to 24 years,Male,Very satisfied or satisfied,Percentage of persons,Percent,units ,v116748962,91.0,N/A
7.2.2.8.3,Newfoundland and Labrador,15 to 24 years,Male,Very satisfied or satisfied,"Low 95% confidence interval, percent",Percent,units ,v116748963,69.8,N/A
7.2.2.8.4,Newfoundland and Labrador,15 to 24 years,Male,Very satisfied or satisfied,"High 95% confidence interval, percent",Percent,units ,v116748964,97.8,N/A
7.2.2.2.1,Newfoundland and Labrador,15 to 24 years,Male,Very satisfied,Number of persons,Persons,thousands,v116748965,N/A,F
7.2.2.2.2,Newfoundland and Labrador,15 to 24 years,Male,Very satisfied,Percentage of persons,Percent,units ,v116748966,N/A,F
7.2.2.2.3,Newfoundland and Labrador,15 to 24 years,Male,Very satisfied,"Low 95% confidence interval, percent",Percent,units ,v116748967,N/A,F
7.2.2.2.4,Newfoundland and Labrador,15 to 24 years,Male,Very satisfied,"High 95% confidence interval, percent",Percent,units ,v116748968,N/A,F
7.2.2.3.1,Newfoundland and Labrador,15 to 24 years,Male,Satisfied,Number of persons,Persons,thousands,v116748969,N/A,F
7.2.2.3.2,Newfoundland and Labrador,15 to 24 years,Male,Satisfied,Percentage of persons,Percent,units ,v116748970,N/A,F
7.2.2.3.3,Newfoundland and Labrador,15 to 24 years,Male,Satisfied,"Low 95% confidence interval, percent",Percent,units ,v116748971,N/A,F
7.2.2.3.4,Newfoundland and Labrador,15 to 24 years,Male,Satisfied,"High 95% confidence interval, percent",Percent,units ,v116748972,N/A,F
7.2.2.4.1,Newfoundland and Labrador,15 to 24 years,Male,Neither satisfied nor dissatisfied,Number of persons,Persons,thousands,v116748973,N/A,F
7.2.2.4.2,Newfoundland and Labrador,15 to 24 years,Male,Neither satisfied nor dissatisfied,Percentage of persons,Percent,units ,v116748974,N/A,F
7.2.2.4.3,Newfoundland and Labrador,15 to 24 years,Male,Neither satisfied nor dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116748975,N/A,F
7.2.2.4.4,Newfoundland and Labrador,15 to 24 years,Male,Neither satisfied nor dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116748976,N/A,F
7.2.2.9.1,Newfoundland and Labrador,15 to 24 years,Male,Dissatisfied or very dissatisfied,Number of persons,Persons,thousands,v116748977,N/A,F
7.2.2.9.2,Newfoundland and Labrador,15 to 24 years,Male,Dissatisfied or very dissatisfied,Percentage of persons,Percent,units ,v116748978,N/A,F
7.2.2.9.3,Newfoundland and Labrador,15 to 24 years,Male,Dissatisfied or very dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116748979,N/A,F
7.2.2.9.4,Newfoundland and Labrador,15 to 24 years,Male,Dissatisfied or very dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116748980,N/A,F
7.2.2.5.1,Newfoundland and Labrador,15 to 24 years,Male,Dissatisfied,Number of persons,Persons,thousands,v116748981,N/A,F
7.2.2.5.2,Newfoundland and Labrador,15 to 24 years,Male,Dissatisfied,Percentage of persons,Percent,units ,v116748982,N/A,F
7.2.2.5.3,Newfoundland and Labrador,15 to 24 years,Male,Dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116748983,N/A,F
7.2.2.5.4,Newfoundland and Labrador,15 to 24 years,Male,Dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116748984,N/A,F
7.2.2.6.1,Newfoundland and Labrador,15 to 24 years,Male,Very dissatisfied,Number of persons,Persons,thousands,v116748985,N/A,F
7.2.2.6.2,Newfoundland and Labrador,15 to 24 years,Male,Very dissatisfied,Percentage of persons,Percent,units ,v116748986,N/A,F
7.2.2.6.3,Newfoundland and Labrador,15 to 24 years,Male,Very dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116748987,N/A,F
7.2.2.6.4,Newfoundland and Labrador,15 to 24 years,Male,Very dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116748988,N/A,F
7.2.2.7.1,Newfoundland and Labrador,15 to 24 years,Male,Don't know/refusal/not stated,Number of persons,Persons,thousands,v116748989,N/A,F
7.2.2.7.2,Newfoundland and Labrador,15 to 24 years,Male,Don't know/refusal/not stated,Percentage of persons,Percent,units ,v116748990,N/A,F
7.2.2.7.3,Newfoundland and Labrador,15 to 24 years,Male,Don't know/refusal/not stated,"Low 95% confidence interval, percent",Percent,units ,v116748991,N/A,F
7.2.2.7.4,Newfoundland and Labrador,15 to 24 years,Male,Don't know/refusal/not stated,"High 95% confidence interval, percent",Percent,units ,v116748992,N/A,F
7.2.3.1.1,Newfoundland and Labrador,15 to 24 years,Female,"Total, job satisfaction",Number of persons,Persons,thousands,v116748993,13.0,N/A
7.2.3.1.2,Newfoundland and Labrador,15 to 24 years,Female,"Total, job satisfaction",Percentage of persons,Percent,units ,v116748994,100.0,N/A
7.2.3.1.3,Newfoundland and Labrador,15 to 24 years,Female,"Total, job satisfaction","Low 95% confidence interval, percent",Percent,units ,v116748995,100.0,N/A
7.2.3.1.4,Newfoundland and Labrador,15 to 24 years,Female,"Total, job satisfaction","High 95% confidence interval, percent",Percent,units ,v116748996,100.0,N/A
7.2.3.8.1,Newfoundland and Labrador,15 to 24 years,Female,Very satisfied or satisfied,Number of persons,Persons,thousands,v116748997,10.0,E
7.2.3.8.2,Newfoundland and Labrador,15 to 24 years,Female,Very satisfied or satisfied,Percentage of persons,Percent,units ,v116748998,76.6,N/A
7.2.3.8.3,Newfoundland and Labrador,15 to 24 years,Female,Very satisfied or satisfied,"Low 95% confidence interval, percent",Percent,units ,v116748999,49.8,N/A
7.2.3.8.4,Newfoundland and Labrador,15 to 24 years,Female,Very satisfied or satisfied,"High 95% confidence interval, percent",Percent,units ,v116749000,91.5,N/A
7.2.3.2.1,Newfoundland and Labrador,15 to 24 years,Female,Very satisfied,Number of persons,Persons,thousands,v116749001,N/A,F
7.2.3.2.2,Newfoundland and Labrador,15 to 24 years,Female,Very satisfied,Percentage of persons,Percent,units ,v116749002,N/A,F
7.2.3.2.3,Newfoundland and Labrador,15 to 24 years,Female,Very satisfied,"Low 95% confidence interval, percent",Percent,units ,v116749003,N/A,F
7.2.3.2.4,Newfoundland and Labrador,15 to 24 years,Female,Very satisfied,"High 95% confidence interval, percent",Percent,units ,v116749004,N/A,F
7.2.3.3.1,Newfoundland and Labrador,15 to 24 years,Female,Satisfied,Number of persons,Persons,thousands,v116749005,N/A,F
7.2.3.3.2,Newfoundland and Labrador,15 to 24 years,Female,Satisfied,Percentage of persons,Percent,units ,v116749006,N/A,F
7.2.3.3.3,Newfoundland and Labrador,15 to 24 years,Female,Satisfied,"Low 95% confidence interval, percent",Percent,units ,v116749007,N/A,F
7.2.3.3.4,Newfoundland and Labrador,15 to 24 years,Female,Satisfied,"High 95% confidence interval, percent",Percent,units ,v116749008,N/A,F
7.2.3.4.1,Newfoundland and Labrador,15 to 24 years,Female,Neither satisfied nor dissatisfied,Number of persons,Persons,thousands,v116749009,N/A,F
7.2.3.4.2,Newfoundland and Labrador,15 to 24 years,Female,Neither satisfied nor dissatisfied,Percentage of persons,Percent,units ,v116749010,N/A,F
7.2.3.4.3,Newfoundland and Labrador,15 to 24 years,Female,Neither satisfied nor dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116749011,N/A,F
7.2.3.4.4,Newfoundland and Labrador,15 to 24 years,Female,Neither satisfied nor dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116749012,N/A,F
7.2.3.9.1,Newfoundland and Labrador,15 to 24 years,Female,Dissatisfied or very dissatisfied,Number of persons,Persons,thousands,v116749013,N/A,F
7.2.3.9.2,Newfoundland and Labrador,15 to 24 years,Female,Dissatisfied or very dissatisfied,Percentage of persons,Percent,units ,v116749014,N/A,F
7.2.3.9.3,Newfoundland and Labrador,15 to 24 years,Female,Dissatisfied or very dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116749015,N/A,F
7.2.3.9.4,Newfoundland and Labrador,15 to 24 years,Female,Dissatisfied or very dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116749016,N/A,F
7.2.3.5.1,Newfoundland and Labrador,15 to 24 years,Female,Dissatisfied,Number of persons,Persons,thousands,v116749017,N/A,F
7.2.3.5.2,Newfoundland and Labrador,15 to 24 years,Female,Dissatisfied,Percentage of persons,Percent,units ,v116749018,N/A,F
7.2.3.5.3,Newfoundland and Labrador,15 to 24 years,Female,Dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116749019,N/A,F
7.2.3.5.4,Newfoundland and Labrador,15 to 24 years,Female,Dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116749020,N/A,F
7.2.3.6.1,Newfoundland and Labrador,15 to 24 years,Female,Very dissatisfied,Number of persons,Persons,thousands,v116749021,N/A,F
7.2.3.6.2,Newfoundland and Labrador,15 to 24 years,Female,Very dissatisfied,Percentage of persons,Percent,units ,v116749022,N/A,F
7.2.3.6.3,Newfoundland and Labrador,15 to 24 years,Female,Very dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116749023,N/A,F
7.2.3.6.4,Newfoundland and Labrador,15 to 24 years,Female,Very dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116749024,N/A,F
7.2.3.7.1,Newfoundland and Labrador,15 to 24 years,Female,Don't know/refusal/not stated,Number of persons,Persons,thousands,v116749025,N/A,F
7.2.3.7.2,Newfoundland and Labrador,15 to 24 years,Female,Don't know/refusal/not stated,Percentage of persons,Percent,units ,v116749026,N/A,F
7.2.3.7.3,Newfoundland and Labrador,15 to 24 years,Female,Don't know/refusal/not stated,"Low 95% confidence interval, percent",Percent,units ,v116749027,N/A,F
7.2.3.7.4,Newfoundland and Labrador,15 to 24 years,Female,Don't know/refusal/not stated,"High 95% confidence interval, percent",Percent,units ,v116749028,N/A,F
7.5.1.1.1,Newfoundland and Labrador,25 to 54 years,Both sexes,"Total, job satisfaction",Number of persons,Persons,thousands,v116749029,151.0,N/A
7.5.1.1.2,Newfoundland and Labrador,25 to 54 years,Both sexes,"Total, job satisfaction",Percentage of persons,Percent,units ,v116749030,100.0,N/A
7.5.1.1.3,Newfoundland and Labrador,25 to 54 years,Both sexes,"Total, job satisfaction","Low 95% confidence interval, percent",Percent,units ,v116749031,100.0,N/A
7.5.1.1.4,Newfoundland and Labrador,25 to 54 years,Both sexes,"Total, job satisfaction","High 95% confidence interval, percent",Percent,units ,v116749032,100.0,N/A
7.5.1.8.1,Newfoundland and Labrador,25 to 54 years,Both sexes,Very satisfied or satisfied,Number of persons,Persons,thousands,v116749033,130.0,N/A
7.5.1.8.2,Newfoundland and Labrador,25 to 54 years,Both sexes,Very satisfied or satisfied,Percentage of persons,Percent,units ,v116749034,86.0,N/A
7.5.1.8.3,Newfoundland and Labrador,25 to 54 years,Both sexes,Very satisfied or satisfied,"Low 95% confidence interval, percent",Percent,units ,v116749035,80.7,N/A
7.5.1.8.4,Newfoundland and Labrador,25 to 54 years,Both sexes,Very satisfied or satisfied,"High 95% confidence interval, percent",Percent,units ,v116749036,89.9,N/A
7.5.1.2.1,Newfoundland and Labrador,25 to 54 years,Both sexes,Very satisfied,Number of persons,Persons,thousands,v116749037,52.0,N/A
7.5.1.2.2,Newfoundland and Labrador,25 to 54 years,Both sexes,Very satisfied,Percentage of persons,Percent,units ,v116749038,34.4,N/A
7.5.1.2.3,Newfoundland and Labrador,25 to 54 years,Both sexes,Very satisfied,"Low 95% confidence interval, percent",Percent,units ,v116749039,29.1,N/A
7.5.1.2.4,Newfoundland and Labrador,25 to 54 years,Both sexes,Very satisfied,"High 95% confidence interval, percent",Percent,units ,v116749040,40.2,N/A
7.5.1.3.1,Newfoundland and Labrador,25 to 54 years,Both sexes,Satisfied,Number of persons,Persons,thousands,v116749041,78.0,N/A
7.5.1.3.2,Newfoundland and Labrador,25 to 54 years,Both sexes,Satisfied,Percentage of persons,Percent,units ,v116749042,51.5,N/A
7.5.1.3.3,Newfoundland and Labrador,25 to 54 years,Both sexes,Satisfied,"Low 95% confidence interval, percent",Percent,units ,v116749043,45.5,N/A
7.5.1.3.4,Newfoundland and Labrador,25 to 54 years,Both sexes,Satisfied,"High 95% confidence interval, percent",Percent,units ,v116749044,57.5,N/A
7.5.1.4.1,Newfoundland and Labrador,25 to 54 years,Both sexes,Neither satisfied nor dissatisfied,Number of persons,Persons,thousands,v116749045,13.0,E
7.5.1.4.2,Newfoundland and Labrador,25 to 54 years,Both sexes,Neither satisfied nor dissatisfied,Percentage of persons,Percent,units ,v116749046,8.4,E
7.5.1.4.3,Newfoundland and Labrador,25 to 54 years,Both sexes,Neither satisfied nor dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116749047,5.7,N/A
7.5.1.4.4,Newfoundland and Labrador,25 to 54 years,Both sexes,Neither satisfied nor dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116749048,12.2,N/A
7.5.1.9.1,Newfoundland and Labrador,25 to 54 years,Both sexes,Dissatisfied or very dissatisfied,Number of persons,Persons,thousands,v116749049,N/A,F
7.5.1.9.2,Newfoundland and Labrador,25 to 54 years,Both sexes,Dissatisfied or very dissatisfied,Percentage of persons,Percent,units ,v116749050,N/A,F
7.5.1.9.3,Newfoundland and Labrador,25 to 54 years,Both sexes,Dissatisfied or very dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116749051,N/A,F
7.5.1.9.4,Newfoundland and Labrador,25 to 54 years,Both sexes,Dissatisfied or very dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116749052,N/A,F
7.5.1.5.1,Newfoundland and Labrador,25 to 54 years,Both sexes,Dissatisfied,Number of persons,Persons,thousands,v116749053,N/A,F
7.5.1.5.2,Newfoundland and Labrador,25 to 54 years,Both sexes,Dissatisfied,Percentage of persons,Percent,units ,v116749054,N/A,F
7.5.1.5.3,Newfoundland and Labrador,25 to 54 years,Both sexes,Dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116749055,N/A,F
7.5.1.5.4,Newfoundland and Labrador,25 to 54 years,Both sexes,Dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116749056,N/A,F
7.5.1.6.1,Newfoundland and Labrador,25 to 54 years,Both sexes,Very dissatisfied,Number of persons,Persons,thousands,v116749057,N/A,F
7.5.1.6.2,Newfoundland and Labrador,25 to 54 years,Both sexes,Very dissatisfied,Percentage of persons,Percent,units ,v116749058,N/A,F
7.5.1.6.3,Newfoundland and Labrador,25 to 54 years,Both sexes,Very dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116749059,N/A,F
7.5.1.6.4,Newfoundland and Labrador,25 to 54 years,Both sexes,Very dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116749060,N/A,F
7.5.1.7.1,Newfoundland and Labrador,25 to 54 years,Both sexes,Don't know/refusal/not stated,Number of persons,Persons,thousands,v116749061,N/A,F
7.5.1.7.2,Newfoundland and Labrador,25 to 54 years,Both sexes,Don't know/refusal/not stated,Percentage of persons,Percent,units ,v116749062,N/A,F
7.5.1.7.3,Newfoundland and Labrador,25 to 54 years,Both sexes,Don't know/refusal/not stated,"Low 95% confidence interval, percent",Percent,units ,v116749063,N/A,F
7.5.1.7.4,Newfoundland and Labrador,25 to 54 years,Both sexes,Don't know/refusal/not stated,"High 95% confidence interval, percent",Percent,units ,v116749064,N/A,F
7.5.2.1.1,Newfoundland and Labrador,25 to 54 years,Male,"Total, job satisfaction",Number of persons,Persons,thousands,v116749065,79.0,N/A
7.5.2.1.2,Newfoundland and Labrador,25 to 54 years,Male,"Total, job satisfaction",Percentage of persons,Percent,units ,v116749066,100.0,N/A
7.5.2.1.3,Newfoundland and Labrador,25 to 54 years,Male,"Total, job satisfaction","Low 95% confidence interval, percent",Percent,units ,v116749067,100.0,N/A
7.5.2.1.4,Newfoundland and Labrador,25 to 54 years,Male,"Total, job satisfaction","High 95% confidence interval, percent",Percent,units ,v116749068,100.0,N/A
7.5.2.8.1,Newfoundland and Labrador,25 to 54 years,Male,Very satisfied or satisfied,Number of persons,Persons,thousands,v116749069,66.0,N/A
7.5.2.8.2,Newfoundland and Labrador,25 to 54 years,Male,Very satisfied or satisfied,Percentage of persons,Percent,units ,v116749070,83.1,N/A
7.5.2.8.3,Newfoundland and Labrador,25 to 54 years,Male,Very satisfied or satisfied,"Low 95% confidence interval, percent",Percent,units ,v116749071,74.3,N/A
7.5.2.8.4,Newfoundland and Labrador,25 to 54 years,Male,Very satisfied or satisfied,"High 95% confidence interval, percent",Percent,units ,v116749072,89.4,N/A
7.5.2.2.1,Newfoundland and Labrador,25 to 54 years,Male,Very satisfied,Number of persons,Persons,thousands,v116749073,30.0,N/A
7.5.2.2.2,Newfoundland and Labrador,25 to 54 years,Male,Very satisfied,Percentage of persons,Percent,units ,v116749074,37.3,N/A
7.5.2.2.3,Newfoundland and Labrador,25 to 54 years,Male,Very satisfied,"Low 95% confidence interval, percent",Percent,units ,v116749075,29.5,N/A
7.5.2.2.4,Newfoundland and Labrador,25 to 54 years,Male,Very satisfied,"High 95% confidence interval, percent",Percent,units ,v116749076,45.9,N/A
7.5.2.3.1,Newfoundland and Labrador,25 to 54 years,Male,Satisfied,Number of persons,Persons,thousands,v116749077,36.0,N/A
7.5.2.3.2,Newfoundland and Labrador,25 to 54 years,Male,Satisfied,Percentage of persons,Percent,units ,v116749078,45.8,N/A
7.5.2.3.3,Newfoundland and Labrador,25 to 54 years,Male,Satisfied,"Low 95% confidence interval, percent",Percent,units ,v116749079,37.1,N/A
7.5.2.3.4,Newfoundland and Labrador,25 to 54 years,Male,Satisfied,"High 95% confidence interval, percent",Percent,units ,v116749080,54.7,N/A
7.5.2.4.1,Newfoundland and Labrador,25 to 54 years,Male,Neither satisfied nor dissatisfied,Number of persons,Persons,thousands,v116749081,7.0,E
7.5.2.4.2,Newfoundland and Labrador,25 to 54 years,Male,Neither satisfied nor dissatisfied,Percentage of persons,Percent,units ,v116749082,8.5,E
7.5.2.4.3,Newfoundland and Labrador,25 to 54 years,Male,Neither satisfied nor dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116749083,4.9,N/A
7.5.2.4.4,Newfoundland and Labrador,25 to 54 years,Male,Neither satisfied nor dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116749084,14.2,N/A
7.5.2.9.1,Newfoundland and Labrador,25 to 54 years,Male,Dissatisfied or very dissatisfied,Number of persons,Persons,thousands,v116749085,N/A,F
7.5.2.9.2,Newfoundland and Labrador,25 to 54 years,Male,Dissatisfied or very dissatisfied,Percentage of persons,Percent,units ,v116749086,N/A,F
7.5.2.9.3,Newfoundland and Labrador,25 to 54 years,Male,Dissatisfied or very dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116749087,N/A,F
7.5.2.9.4,Newfoundland and Labrador,25 to 54 years,Male,Dissatisfied or very dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116749088,N/A,F
7.5.2.5.1,Newfoundland and Labrador,25 to 54 years,Male,Dissatisfied,Number of persons,Persons,thousands,v116749089,N/A,F
7.5.2.5.2,Newfoundland and Labrador,25 to 54 years,Male,Dissatisfied,Percentage of persons,Percent,units ,v116749090,N/A,F
7.5.2.5.3,Newfoundland and Labrador,25 to 54 years,Male,Dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116749091,N/A,F
7.5.2.5.4,Newfoundland and Labrador,25 to 54 years,Male,Dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116749092,N/A,F
7.5.2.6.1,Newfoundland and Labrador,25 to 54 years,Male,Very dissatisfied,Number of persons,Persons,thousands,v116749093,N/A,F
7.5.2.6.2,Newfoundland and Labrador,25 to 54 years,Male,Very dissatisfied,Percentage of persons,Percent,units ,v116749094,N/A,F
7.5.2.6.3,Newfoundland and Labrador,25 to 54 years,Male,Very dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116749095,N/A,F
7.5.2.6.4,Newfoundland and Labrador,25 to 54 years,Male,Very dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116749096,N/A,F
7.5.2.7.1,Newfoundland and Labrador,25 to 54 years,Male,Don't know/refusal/not stated,Number of persons,Persons,thousands,v116749097,N/A,F
7.5.2.7.2,Newfoundland and Labrador,25 to 54 years,Male,Don't know/refusal/not stated,Percentage of persons,Percent,units ,v116749098,N/A,F
7.5.2.7.3,Newfoundland and Labrador,25 to 54 years,Male,Don't know/refusal/not stated,"Low 95% confidence interval, percent",Percent,units ,v116749099,N/A,F
